epoch,train_mse,val_mse
0,-1.0,0.013481269590556622
1,-1.0,0.011508828029036522
2,-1.0,0.010476079769432545
3,-1.0,0.009726839140057564
4,-1.0,0.009395873174071312
5,-1.0,0.009193782694637775
6,-1.0,0.00906308088451624
7,-1.0,0.00898811500519514
8,-1.0,0.008931617252528667
9,-1.0,0.008869774639606476
10,-1.0,0.008816731162369251
11,-1.0,0.008776070550084114
12,-1.0,0.00873932708054781
13,-1.0,0.008702438324689865
14,-1.0,0.008671563118696213
15,-1.0,0.008648736402392387
16,-1.0,0.008629274554550648
17,-1.0,0.008607295341789722
18,-1.0,0.008587452583014965
19,-1.0,0.008571377955377102
20,-1.0,0.008556167595088482
21,-1.0,0.008543116971850395
22,-1.0,0.008531560190021992
23,-1.0,0.008521392941474915
24,-1.0,0.008513098582625389
25,-1.0,0.008505682460963726
26,-1.0,0.008498541079461575
27,-1.0,0.008492749184370041
28,-1.0,0.00848742201924324
29,-1.0,0.008482166565954685
30,-1.0,0.008477520197629929
31,-1.0,0.00847373902797699
32,-1.0,0.008469948545098305
33,-1.0,0.008466006256639957
34,-1.0,0.00846252590417862
35,-1.0,0.008459621109068394
36,-1.0,0.008456658571958542
37,-1.0,0.008453523740172386
38,-1.0,0.008450192399322987
39,-1.0,0.008446445688605309
40,-1.0,0.008442996069788933
41,-1.0,0.008439927361905575
42,-1.0,0.008437173441052437
43,-1.0,0.008434579707682133
44,-1.0,0.008432116359472275
45,-1.0,0.008429832756519318
46,-1.0,0.008427425287663937
47,-1.0,0.008425263687968254
48,-1.0,0.008423024788498878
49,-1.0,0.00842104759067297
50,-1.0,0.00841904804110527
51,-1.0,0.008417036384344101
52,-1.0,0.008415108546614647
53,-1.0,0.008413066156208515
54,-1.0,0.0084109241142869
55,-1.0,0.008407778106629848
56,-1.0,0.008405705913901329
57,-1.0,0.008404268883168697
58,-1.0,0.00840243324637413
59,-1.0,0.00840089563280344
60,-1.0,0.008399737998843193
61,-1.0,0.008398361504077911
62,-1.0,0.008397161960601807
63,-1.0,0.008396063931286335
64,-1.0,0.008394814096391201
65,-1.0,0.008393661119043827
66,-1.0,0.008392560295760632
67,-1.0,0.008391624316573143
68,-1.0,0.008390567265450954
69,-1.0,0.00838939193636179
70,-1.0,0.008388405665755272
71,-1.0,0.008387448266148567
72,-1.0,0.00838649645447731
73,-1.0,0.008385594934225082
74,-1.0,0.008384760469198227
75,-1.0,0.008383935317397118
76,-1.0,0.008383135311305523
77,-1.0,0.008382348343729973
78,-1.0,0.008381601423025131
79,-1.0,0.008380884304642677
80,-1.0,0.008380106650292873
81,-1.0,0.008379350416362286
82,-1.0,0.008378652855753899
83,-1.0,0.008377963677048683
84,-1.0,0.00837728101760149
85,-1.0,0.008376565761864185
86,-1.0,0.008375965058803558
87,-1.0,0.008375324308872223
